,370,acusación,acusado,además,agosto,alzada,antecedentes,análisis,apelación,aplicable,aplicación,art,arts,así,auto,autos,años,base,bien,cada,casación,caso,comisión,conducta,conforme,consecuencia,considerando,constitucional,contradicción,contradictorio,corresponde,cp,cpp,cuanto,cuenta,cumplimiento,código,debe,debido,decir,declaró,defecto,defectos,defectuosa,defensa,delito,delitos,dentro,denuncia,departamental,derecho,derechos,doctrina,efecto,elementos,ello,embargo,errónea,establece,establecido,existe,existencia,fallo,falta,forma,fs,fundamentación,haber,hecho,hechos,homicidio,impugnado,imputado,inc,judicial,juez,juicio,jurídica,justicia,legal,lesiones,ley,manera,marzo,mayo,mediante,ministerio,misma,mismo,momento,motivo,motivos,norma,normas,nº,octubre,oral,parte,partes,particular,pena,penal,persona,precedente,precedentes,presente,previsto,principio,procedimiento,procesal,procesales,proceso,prueba,pruebas,puede,pues,público,recurrente,recurso,recursos,refiere,relación,requisitos,resolución,respecto,restringida,sala,segundo,sentencia,ser,señala,si,sido,siendo,siguientes,sino,situación,supremo,supremos,sustantiva,tiempo,tipo,toda,tribunal,tribunales,valoración,vez,vista,vta,víctima
aplicación,45974,73798,52777,64786,39081,191787,38655,68820,224475,41238,0,343429,95387,87152,344354,62777,47917,48945,61090,48429,125919,135601,59549,83966,76378,52220,23088,39206,67758,40281,40799,123991,205233,61766,60180,31320,72081,110739,135993,63352,27964,91651,39466,41287,62678,201881,92072,52515,82245,25088,156978,61732,83699,42804,61549,70364,52112,56517,42610,42160,34858,50910,55051,66759,81596,73713,149138,59250,174544,174560,32822,65855,99339,76976,57567,65365,138637,50150,93151,113447,98185,115058,113987,30457,52124,28097,47124,48859,73186,39115,145575,51002,71761,49938,23184,27138,33901,142827,43847,32877,122883,313823,80785,66136,56801,102740,63207,95060,68512,53951,34558,206577,212858,67953,69793,57415,59293,121574,242440,39537,40620,137030,41809,123097,112777,112580,76684,41097,477090,135677,47832,134313,52333,67247,23483,71327,38445,149799,35674,47390,54863,90140,35794,518056,35829,98093,40041,212689,31902,48624
art,150961,280412,160962,222879,146310,648859,139979,228533,773417,134146,343429,0,346371,306483,1200155,221492,179500,156158,219421,165642,422413,460473,206742,276992,269534,171100,68548,136380,235268,134943,139634,451736,728339,206947,209507,116024,230555,359927,506688,234422,93555,341973,137752,157121,238419,715775,343726,178776,306247,78521,567956,223172,280979,131175,196403,260048,201379,163180,140338,150502,116926,168370,185741,234018,293831,309535,480350,222392,589266,603266,97979,234736,296796,279689,198356,211480,438680,149882,319297,388941,397886,355189,394699,103045,209720,116349,166817,159346,258805,130172,558569,176671,246037,178976,71741,101308,112480,498643,140560,112647,423326,1052890,322893,237077,191558,382159,219155,307626,210854,194350,121465,766350,696345,237162,241207,212432,203363,439537,849074,127357,133345,493274,171434,409917,357588,394163,262726,152449,1648536,467962,156993,483572,191405,214960,77753,252913,120980,493750,123653,135633,220375,305522,109063,1732522,111688,305140,127814,736266,124058,128070
arts,44018,80065,44521,62753,45506,185807,41848,64603,218726,37837,95387,346371,0,86637,350848,67882,52230,41111,63671,46755,124709,128742,59284,76746,73805,48236,20793,38322,71847,40941,40136,134006,212712,57466,62217,36125,66211,100301,154927,68460,26336,101693,43825,45936,71079,203216,105613,51345,92185,20987,163995,65741,79215,35465,51893,76003,60978,47132,38391,44216,34175,46889,53820,68219,84444,88579,136311,64625,163915,167323,27064,71306,72158,82257,56564,55293,118336,37677,89866,112440,121789,101028,110083,29373,60836,32676,46980,43611,73042,36284,170709,49714,70373,55271,23017,29787,30896,142148,36754,31358,133788,294055,96863,73822,61121,113129,61415,82599,61344,52106,34779,224703,188435,69527,68425,59953,57296,136007,251384,36716,37770,146776,56707,113526,98405,114283,74007,44544,466702,131567,45548,140412,55390,59010,22356,69332,33755,139144,38827,38368,66554,86084,27635,478912,30414,81111,33668,220493,36204,28130
así,34412,80876,42283,63035,36767,177526,33298,58995,201681,34988,87152,306483,86637,0,296890,51884,47094,42458,60722,46367,92050,120711,55835,81815,67340,45185,15226,34889,58147,31404,35473,125359,178000,53530,55816,28181,55543,96910,141309,64659,21557,89739,31461,40992,63826,197619,98738,44279,80338,15640,151089,54702,73480,31690,56095,75015,56124,41415,32411,37718,29068,43025,48686,62653,80172,68019,124242,65540,161320,177394,19153,56327,78839,65401,46278,56215,113407,38621,65709,100390,122234,84342,112099,23210,61185,28027,40893,42137,70508,34731,156408,45634,65157,47794,16150,23965,27159,125134,35116,28130,117587,270241,95237,56866,43276,100397,49280,79229,50168,46600,29074,207774,182810,64573,67078,57796,49702,102900,196596,30873,32120,136771,41070,99865,92057,99477,59909,40766,443767,126614,39500,136733,52251,59615,17016,74803,28767,114477,29220,34819,58294,85695,26678,452064,24478,81874,32425,180938,27279,29881
auto,147009,276167,161773,219794,165102,651016,148097,238445,809029,138802,344354,1200155,350848,296890,0,257465,180839,155767,217615,164763,493940,480785,209826,265535,264631,180444,73525,148865,263987,163381,144166,423116,723295,202482,216771,128517,256649,373472,520312,234151,98019,343486,151765,183654,238779,704700,339359,185413,312535,86635,558619,230192,298203,141399,186767,256516,206680,169081,147582,157109,125814,172613,187277,245164,288497,431177,490058,214257,580667,577826,113732,261116,284241,274525,219814,217183,459815,148567,362868,406829,380802,369658,390893,125638,230215,168320,184560,163923,267708,130688,563417,183418,240736,177431,99252,126476,117879,517948,142999,115995,402470,1114096,312513,276809,223392,397436,223905,310997,225882,231358,129104,802625,706719,233284,242943,209502,220777,478481,956598,134323,144596,508014,188619,440939,383808,418000,290338,156744,1663141,474098,175978,484284,188782,217609,88284,236791,133973,573110,142818,135337,230389,305502,109537,1793139,123883,304735,130036,846586,165559,125834
autos,27268,47027,28826,40451,32682,119490,28876,44003,148058,25531,62777,221492,67882,51884,257465,0,31412,27553,40982,28229,105406,87425,38647,46416,49646,31840,14014,25805,54753,34178,27033,76730,134034,36679,37610,26418,50802,65611,95287,44141,18109,64824,30760,30107,42487,128814,61210,36429,59818,16643,102873,43148,55048,25382,32286,47124,38775,32018,28616,28768,24787,33582,35080,44577,52857,66445,90171,38833,104817,101544,23408,54593,45803,52509,40626,35594,78455,27296,76429,76836,68625,70731,69465,24350,37460,21323,32527,29573,49005,23798,106418,34261,45917,34530,19291,23250,20364,97675,25329,20993,72943,208639,56405,57368,50546,74206,41181,55826,42663,37257,24092,139222,128315,42167,43400,39423,39653,99256,189074,26258,26546,89764,41533,81780,69390,77889,58436,29951,296789,85969,31764,87338,35292,37620,17532,41841,25710,108953,33828,25142,44638,57975,18676,327296,25503,55089,23512,166689,26595,21915
años,18018,42151,23747,32885,22488,90604,22289,34260,108561,18640,47917,179500,52230,47094,180839,31412,0,21564,31982,24616,58431,72905,31951,43402,40254,26618,10766,22532,32144,17781,21474,70981,101345,31320,33776,16563,36217,55022,74403,34748,13565,46224,17095,26242,35629,112139,58939,26539,42995,11511,80968,35545,38711,19479,28340,39041,30038,22217,21915,23164,17181,22876,26148,33756,43983,69610,65342,33061,85865,87049,16524,31897,46895,38432,31179,35290,61667,20411,46240,55591,62476,51925,56287,16642,38080,28370,29308,22552,38907,19757,79378,23985,34844,25473,10048,17587,16779,72344,19535,16827,82642,167923,50488,32416,25208,59655,30840,43163,30238,36998,18308,126383,93056,32000,36643,30349,33913,60427,120507,19191,19205,75128,23921,59065,50648,55398,37730,22691,238318,70378,23647,71936,28216,31158,11706,38716,17766,69008,17200,18753,35620,44242,15543,253159,15671,39393,18861,102053,25117,20892
base,19858,38320,23471,32080,17668,89663,17290,32092,104040,18627,48945,156158,41111,42458,155767,27553,21564,0,28431,23067,55118,63114,27472,40419,36421,23819,9597,17735,30216,17350,18073,57879,90986,28799,27952,13808,32374,51579,62746,30692,12476,42693,16532,20054,29913,94476,43162,23691,38136,10799,73152,27149,37665,19083,30783,33765,24879,22399,19364,18646,16549,23859,25628,30604,40019,38100,67952,29666,82860,87002,12683,29911,45632,33888,26595,31470,64297,23935,40926,51077,48704,48178,54571,14254,27135,15029,21717,22832,35095,18582,68283,23789,32334,22544,9668,12200,15959,65014,21325,15402,52772,144372,39556,29117,23870,47066,27545,45474,27994,26947,16139,98967,105393,32885,33065,28245,26943,53298,107072,17795,17958,64677,17868,55636,52503,51611,34751,19345,225814,64769,20065,64176,24645,30709,10436,36786,16878,66144,15184,18957,26162,41938,16346,245521,15565,48358,18940,93877,15576,20930
bien,26338,58967,31004,43265,28835,128250,25512,42687,144420,26022,61090,219421,63671,60722,217615,40982,31982,28431,0,31332,65916,86621,39455,60234,47936,31093,10638,22315,46990,23006,27654,90931,130387,40451,39268,21806,37232,69198,105354,49145,16089,70224,24040,29182,46539,146286,71441,32378,62559,12416,112145,38564,56286,24060,38910,56404,44662,31666,21796,27587,21613,31625,36155,46140,55812,43086,86439,47240,120012,121631,12826,42626,51334,50706,32097,38141,79471,27380,49276,76680,87325,61842,78344,16511,40988,17587,28021,28774,51121,24351,117588,32276,47931,34717,10966,16012,19313,95906,24577,20860,81541,192737,71318,44126,32675,77993,35693,56126,34023,28595,20666,147407,133686,47479,49863,43091,35006,81687,143998,21922,23217,99477,33879,72136,60088,72339,43968,31209,320748,91822,27498,107026,39849,38179,11898,51222,22097,87185,23501,25899,44033,68313,17903,319098,18134,58244,22569,134501,17923,21874
cada,21754,40424,23299,33900,19735,96427,18566,32752,112401,19771,48429,165642,46755,46367,164763,28229,24616,23067,31332,0,50096,65614,29871,43829,37055,24238,8934,18928,31552,16146,19674,65813,98863,30418,31008,14925,30614,54348,74543,34358,12421,49960,18069,23223,34227,103028,50578,24293,43024,9933,80247,29386,40993,18249,30787,38597,29150,23229,17751,20916,16178,23277,27558,35346,43012,42899,73938,33130,85050,90944,11311,30806,42043,37620,27008,33204,64328,22546,37541,55504,60649,48220,60633,13791,32521,18084,22900,22124,36872,18421,80789,25927,33867,25075,8071,14136,16379,68934,20807,15834,62059,146584,47985,29330,23923,53522,28749,42770,29152,27390,16314,114002,102131,36121,35375,30715,28000,55470,109382,17991,18095,72403,21127,58380,50503,55539,32644,21217,243048,67732,21233,71847,26861,31662,9552,38948,15939,63953,16226,19865,30335,45066,16089,250135,14316,45587,18371,97725,16981,16091
casación,53706,73014,54001,72769,52701,200430,60160,85418,275778,44533,125919,422413,124709,92050,493940,105406,58431,55118,65916,50096,0,161689,73135,75662,100599,61148,38893,49539,101939,72873,49801,120307,240042,70820,68897,53513,135950,125162,133299,69502,40603,98186,61111,48951,67106,213386,91108,75834,94523,40229,181008,84380,95028,51623,60715,70018,55854,57352,64772,54642,46631,67566,61841,77021,97064,153177,174759,60265,187528,169375,59945,103273,104192,92010,93106,71286,152046,56608,186186,137168,89062,151098,114146,50307,55804,44482,67691,56415,92469,48680,150069,65105,84560,64352,58110,43070,42404,182820,58083,43090,130143,443034,73139,113549,101877,118982,89134,104937,110929,84339,56940,226169,241687,71538,71630,70087,83478,186208,435567,60043,47213,146619,74522,158541,137710,152913,139314,50353,528532,158479,54812,133190,56809,70132,47723,73538,51213,231482,54666,48161,72671,87375,43417,634550,60075,107612,49870,324317,62008,56225
caso,53790,109550,62630,89241,57455,247193,53584,90453,299822,52783,135601,460473,128742,120711,480785,87425,72905,63114,86621,65614,161689,0,80205,114573,104064,69833,24999,59089,90629,52094,55701,168320,269854,80269,82910,43119,91512,149659,192901,92186,35902,126537,50250,67320,88897,278097,139256,70123,114669,31013,215777,90441,110870,52306,79641,102644,77295,62158,55332,58248,46651,65820,71516,89804,115532,153060,183205,86369,231303,236544,36986,87538,120142,101310,81840,90643,175736,62125,125559,151840,152176,142131,155216,42866,90193,62296,69846,64813,103538,51416,208270,68168,96455,67400,32337,43768,44960,196235,55995,44637,161600,426642,123387,92077,72322,153959,80920,121698,81120,91345,47281,313546,271629,90080,97684,83650,84370,163704,329895,49192,54288,193696,62346,164095,143927,150729,102448,59061,644450,188866,64917,191054,74333,86056,30219,101812,49954,194864,47117,52510,86097,122269,42158,684753,45015,119498,50701,280381,57425,51752
comisión,24234,52586,28695,40426,25576,117027,24494,39803,134243,23620,59549,206742,59284,55835,209826,38647,31951,27472,39455,29871,73135,80205,0,51970,44834,29755,12014,22629,41256,23218,24459,81621,118666,36503,36213,20281,42759,64078,91574,41918,15991,60085,22225,26729,41461,133453,64002,31279,53274,12656,98048,36036,49690,22182,34774,47905,36299,28372,22863,25788,20096,28905,32966,42062,51119,51906,82857,41182,106702,112260,17052,40656,53274,45644,33751,37838,74462,26378,52809,68222,76843,60815,70504,16866,38439,19257,28630,27413,46575,22647,100563,29749,43692,31750,13840,17259,17986,85180,23974,19724,78784,191634,61041,41603,33218,67624,36884,53132,37141,31140,20073,135337,118523,41977,42841,38094,34637,73505,146227,22256,22085,88307,29466,69415,60781,67821,45709,26977,293773,82358,26253,87296,34021,38072,13090,46366,20896,84217,21246,24517,39326,56804,17657,303440,18694,52738,21733,129757,21080,20433
conducta,33093,71218,44096,60091,34776,167723,30635,56676,182964,33847,83966,276992,76746,81815,265535,46416,43402,40419,60234,43829,75662,114573,51970,0,62045,41347,13583,31002,53060,25505,33399,122348,158488,53606,51709,23395,47374,92253,128235,60314,20018,82878,25802,39292,56713,192013,93588,40843,73814,14704,133557,46395,69418,31864,58819,69999,50511,42799,28094,32884,27354,42266,47477,59511,75059,64013,120782,60365,156083,166939,15102,50391,79942,59994,41479,53426,106113,39815,54830,93738,111239,84077,105760,19854,57183,29096,35349,37140,65119,33176,141596,40491,60528,42752,11293,21520,24036,114872,32479,26515,109809,258851,88453,48247,37231,93065,45392,74980,40594,42555,25123,193017,177625,60414,63096,53418,46017,89032,162899,30061,29519,127872,33031,91480,84963,87166,51777,37772,419909,118515,35674,128826,47171,55779,13447,72966,28495,103112,26294,37109,51549,92352,25228,424725,22845,81276,31344,155673,25360,29424
conforme,33033,59631,36488,50705,31771,141324,31952,52847,173178,30018,76378,269534,73805,67340,264631,49646,40254,36421,47936,37055,100599,104064,44834,62045,0,38352,16499,31889,51989,28566,32344,95798,159747,48147,46209,25545,55493,83255,105114,51140,22444,72222,30248,33573,50533,155037,73024,40572,65795,20555,125668,50739,62664,31411,45163,54780,42930,35488,33502,33738,27046,39236,41557,52335,65970,73909,108182,47072,132464,131255,24421,52130,72807,59912,46634,52491,101154,36690,79418,86294,79173,81363,86634,24461,43966,26813,38542,35454,57944,30326,114731,41068,53677,37413,16873,23111,27654,114823,34771,26612,91043,244712,66190,50097,41083,83304,50064,71591,51176,46148,29097,167372,164113,52902,54187,47943,47415,97405,195709,29418,29612,105873,35386,95793,81129,88733,63167,33426,365728,107424,33112,105597,42031,47210,19348,56554,28013,115467,27269,29719,47162,67209,27863,397289,27576,72224,31705,160088,29289,34347
consecuencia,20491,40516,24323,33197,20948,95242,19837,34336,112912,19291,52220,171100,48236,45185,180444,31840,26618,23819,31093,24238,61148,69833,29755,41347,38352,0,9848,20584,33375,20957,20750,62485,103194,30804,30936,16096,34397,55888,73261,33263,13237,47008,20246,24222,33694,101501,49088,25087,43069,11305,79856,32483,40711,20417,29666,36831,28759,24391,21465,21586,17269,24742,26612,33569,42768,50167,71376,31451,87184,89745,15904,32158,46985,37218,29631,32894,70987,23169,45272,55934,55541,52045,59353,15853,31509,19486,24425,24675,38160,20183,78348,25872,34497,25017,10003,15325,17482,71972,21381,16269,60245,155860,44324,34307,28023,54205,30031,47369,30151,31742,18190,112938,105842,34147,36053,29631,30127,61607,121214,18389,20160,73011,22600,60553,58650,57140,37076,21671,240325,69260,25707,70905,27349,34704,11282,37754,19037,72369,17967,20125,30805,44817,16899,259873,16482,46736,19787,109153,19800,20368
considerando,10916,9683,11482,11511,7201,31233,10395,14071,41078,8303,23088,68548,20793,15226,73525,14014,10766,9597,10638,8934,38893,24999,12014,13583,16499,9848,0,6823,14322,9474,8030,18740,34813,13008,11862,7606,28165,21831,17224,9358,6349,14328,8093,6761,10893,33006,14839,12380,12063,6458,27025,11017,14982,10170,11115,8764,6929,10507,10451,8600,7519,9642,10970,11935,13451,23555,31785,8022,30459,25637,10790,13551,17337,14806,15253,14115,25977,9786,26580,21671,9074,27251,16931,7839,6496,7417,10724,8753,13842,8434,16952,9429,12365,10500,12884,6046,7208,27635,11230,6952,27899,78251,8571,13561,13835,16334,15567,15761,21961,11832,8638,34685,42536,12432,10704,9723,13357,26178,62649,9696,8479,22955,7488,26038,22436,22985,21519,7194,86335,24437,8930,19778,8867,11659,7754,10129,7629,35738,6902,9463,8387,12384,9413,99307,9096,19245,8985,46234,8813,10880
constitucional,14247,32413,16952,24964,19053,66709,15196,26191,86460,14626,39206,136380,38322,34889,148865,25805,22532,17735,22315,18928,49539,59089,22629,31002,31889,20584,6823,0,25049,16604,16189,45105,80878,21172,24945,13532,26566,44321,57717,25466,9858,33897,15614,21126,29376,75904,41119,20054,31619,8670,66733,32031,30287,14487,21064,28387,21622,17084,16987,18131,13099,18858,20142,26526,33770,57827,50156,23641,62769,64502,11458,25791,33429,28343,25384,26271,52026,16252,39918,41534,41993,41860,43871,14445,28982,23547,23651,19861,30109,14325,58966,18467,26831,18860,13129,16549,13641,57192,16934,13225,41420,126348,34995,27506,21936,45450,24347,36375,27035,32426,15403,101255,70274,24068,28874,23297,27794,46025,98286,15228,16781,56587,19573,49245,44884,43671,29826,16336,186586,56734,21928,51806,20456,26142,9280,28183,14212,58171,14065,13669,26914,31825,12033,194602,12593,30363,14221,83401,21342,15066
